level_0,level_1,level_2,Total Return ($),Total Return (%),Annualized Return (%),Annualized Volatility (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Treynor Ratio,Information Ratio,Max Drawdown (%),Max Drawdown Duration (days),Beta,Alpha,entry_threshold,lookback_window,p-value
"('entry_threshold', 1.9)","('lookback_window', 400)","('p-value', 0.01)",15813.66,3.16,0.68,0.48,1.4,0.79,-3.63,-3.76,0.05,-0.19,472.0,-0.0018,0.01,1.9,400,0.01
"('entry_threshold', 1.6)","('lookback_window', 400)","('p-value', 0.01)",14752.01,2.95,0.63,0.56,1.12,0.36,-1.19,-3.2,0.05,-0.53,304.0,-0.00198,0.01,1.6,400,0.01
"('entry_threshold', 1.9)","('lookback_window', 560)","('p-value', 0.01)",1540.42,0.31,0.07,0.07,0.97,,,-4.35,0.01,0.0,0.0,-0.00015,0.0,1.9,560,0.01
"('entry_threshold', 1.0)","('lookback_window', 400)","('p-value', 0.01)",17149.45,3.43,0.73,0.85,0.87,0.3,-0.78,-0.98,0.06,-0.94,702.0,-0.00747,0.01,1.0,400,0.01
"('entry_threshold', 1.6)","('lookback_window', 480)","('p-value', 0.01)",371.1,0.07,0.02,0.04,0.45,,-8.05,-92.27,0.0,-0.0,319.0,-0.0,0.0,1.6,480,0.01
"('entry_threshold', 1.9)","('lookback_window', 480)","('p-value', 0.01)",371.1,0.07,0.02,0.04,0.45,,-8.05,-92.22,0.0,-0.0,319.0,-0.0,0.0,1.9,480,0.01
"('entry_threshold', 0.5)","('lookback_window', 400)","('p-value', 0.01)",10517.66,2.1,0.45,1.0,0.45,0.19,-0.38,-0.59,0.03,-1.2,747.0,-0.00768,0.01,0.5,400,0.01
"('entry_threshold', 1.6)","('lookback_window', 560)","('p-value', 0.01)",982.5,0.2,0.04,0.1,0.43,0.05,-0.23,-2.53,0.0,-0.19,413.0,-0.00017,0.0,1.6,560,0.01
"('entry_threshold', 1.9)","('lookback_window', 400)","('p-value', 0.05)",5360.83,1.07,0.23,1.17,0.2,0.07,-0.16,-0.26,0.02,-1.42,742.0,-0.00889,0.0,1.9,400,0.05
"('entry_threshold', 1.9)","('lookback_window', 480)","('p-value', 0.1)",4831.46,0.97,0.21,1.15,0.18,0.09,-0.07,-0.65,0.02,-2.8,626.0,-0.0032,0.0,1.9,480,0.1
"('entry_threshold', 1.0)","('lookback_window', 480)","('p-value', 0.05)",5492.6,1.1,0.24,1.66,0.14,0.11,-0.12,-0.23,0.02,-1.96,659.0,-0.01024,0.0,1.0,480,0.05
"('entry_threshold', 1.0)","('lookback_window', 480)","('p-value', 0.1)",7366.06,1.47,0.32,2.99,0.11,0.1,-0.05,-0.09,0.02,-6.98,648.0,-0.03556,0.01,1.0,480,0.1
"('entry_threshold', 0.5)","('lookback_window', 560)","('p-value', 0.1)",8564.22,1.71,0.37,3.67,0.1,0.08,-0.05,-0.11,0.03,-7.8,559.0,-0.03414,0.01,0.5,560,0.1
"('entry_threshold', 1.6)","('lookback_window', 480)","('p-value', 0.05)",2450.63,0.49,0.11,1.29,0.08,0.05,-0.06,-0.3,0.01,-1.65,623.0,-0.00357,0.0,1.6,480,0.05
"('entry_threshold', 1.6)","('lookback_window', 480)","('p-value', 0.1)",3384.52,0.68,0.15,1.91,0.08,0.06,-0.04,-0.14,0.01,-4.1,606.0,-0.01045,0.0,1.6,480,0.1
"('entry_threshold', 1.0)","('lookback_window', 560)","('p-value', 0.01)",-9.85,-0.0,-0.0,0.34,-0.0,-0.0,0.0,0.06,-0.0,-0.52,592.0,-7e-05,0.0,1.0,560,0.01
"('entry_threshold', 1.0)","('lookback_window', 560)","('p-value', 0.1)",-835.29,-0.17,-0.04,2.75,-0.01,-0.01,0.01,0.01,-0.0,-5.24,585.0,-0.02952,0.0,1.0,560,0.1
"('entry_threshold', 0.5)","('lookback_window', 480)","('p-value', 0.05)",-2121.3,-0.42,-0.09,2.13,-0.04,-0.03,0.03,0.09,-0.01,-3.04,663.0,-0.01076,0.0,0.5,480,0.05
"('entry_threshold', 1.9)","('lookback_window', 400)","('p-value', 0.1)",-1495.13,-0.3,-0.06,1.79,-0.04,-0.02,0.02,0.03,-0.0,-2.86,747.0,-0.02155,0.0,1.9,400,0.1
