level_0,level_1,level_2,Total Return ($),Total Return (%),Annualized Return (%),Annualized Volatility (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Treynor Ratio,Information Ratio,Max Drawdown (%),Max Drawdown Duration (days),Beta,Alpha,entry_threshold,lookback_window,p-value
"('entry_threshold', 2.0)","('lookback_window', 400)","('p-value', 0.01)",15443.42,3.09,0.66,0.49,1.36,0.77,-3.54,-3.8,0.05,-0.19,280.0,-0.00174,0.01,2.0,400,0.01
"('entry_threshold', 2.4)","('lookback_window', 400)","('p-value', 0.01)",2412.31,0.48,0.1,0.1,1.06,2.78,-18.91,-6.76,0.01,-0.01,62.0,-0.00015,0.0,2.4,400,0.01
"('entry_threshold', 2.1)","('lookback_window', 400)","('p-value', 0.01)",9605.83,1.92,0.41,0.4,1.04,0.43,-2.21,6.89,0.03,-0.19,286.0,0.0006,0.0,2.1,400,0.01
"('entry_threshold', 2.5)","('lookback_window', 400)","('p-value', 0.01)",1126.9,0.23,0.05,0.05,0.91,0.99,-8.84,-6.64,0.0,-0.01,62.0,-7e-05,0.0,2.5,400,0.01
"('entry_threshold', 2.2)","('lookback_window', 400)","('p-value', 0.01)",6391.62,1.28,0.28,0.34,0.81,0.29,-0.85,-11.42,0.02,-0.32,283.0,-0.00024,0.0,2.2,400,0.01
"('entry_threshold', 2.3)","('lookback_window', 400)","('p-value', 0.01)",2174.67,0.43,0.09,0.15,0.61,0.09,-0.42,2.75,0.01,-0.22,283.0,0.00034,0.0,2.3,400,0.01
"('entry_threshold', 2.3)","('lookback_window', 280)","('p-value', 0.05)",10230.7,2.05,0.44,0.85,0.51,0.22,-0.3,-2.2,0.03,-1.48,785.0,-0.002,0.0,2.3,280,0.05
"('entry_threshold', 2.2)","('lookback_window', 360)","('p-value', 0.01)",3957.07,0.79,0.17,0.52,0.33,0.08,-0.22,3.67,0.01,-0.79,586.0,0.00047,0.0,2.2,360,0.01
"('entry_threshold', 2.1)","('lookback_window', 300)","('p-value', 0.01)",4220.22,0.84,0.18,0.65,0.28,0.1,-0.28,2.51,0.01,-0.66,852.0,0.00073,0.0,2.1,300,0.01
"('entry_threshold', 2.0)","('lookback_window', 220)","('p-value', 0.01)",4031.87,0.81,0.17,0.65,0.27,0.11,-0.23,1.59,0.01,-0.77,863.0,0.00109,0.0,2.0,220,0.01
"('entry_threshold', 2.2)","('lookback_window', 380)","('p-value', 0.01)",3517.84,0.7,0.15,0.61,0.25,0.05,-0.12,-0.64,0.01,-1.24,768.0,-0.00236,0.0,2.2,380,0.01
"('entry_threshold', 2.3)","('lookback_window', 300)","('p-value', 0.01)",2073.69,0.41,0.09,0.43,0.21,0.05,-0.14,1.13,0.01,-0.66,707.0,0.00079,0.0,2.3,300,0.01
"('entry_threshold', 2.3)","('lookback_window', 280)","('p-value', 0.1)",7253.27,1.45,0.31,1.94,0.16,0.06,-0.07,-2.2,0.02,-4.33,772.0,-0.00142,0.0,2.3,280,0.1
