,level_0,level_1,level_2,Total Return ($),Total Return (%),Annualized Return (%),Annualized Volatility (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Treynor Ratio,Information Ratio,Max Drawdown (%),Max Drawdown Duration (days),Beta,Alpha,entry_threshold,lookback_window,p-value
0,"('entry_threshold', 2.0)","('lookback_window', 90)","('p-value', 0.05)",-31020.01,-6.2,-0.84,0.49,-1.73,-0.86,0.14,-15.5,-0.07,-6.2,1824.0,0.00054,-0.01,2.0,90,0.05
1,"('entry_threshold', 2.0)","('lookback_window', 120)","('p-value', 0.05)",-34386.57,-6.88,-0.93,0.47,-2.0,-0.96,0.14,-5.46,-0.07,-6.88,1790.0,0.00171,-0.01,2.0,120,0.05
2,"('entry_threshold', 2.0)","('lookback_window', 90)","('p-value', 0.1)",-51982.55,-10.4,-1.43,0.66,-2.16,-1.33,0.14,-4.29,-0.11,-10.48,1824.0,0.00334,-0.02,2.0,90,0.1
3,"('entry_threshold', 1.5)","('lookback_window', 90)","('p-value', 0.05)",-58707.88,-11.74,-1.63,0.71,-2.28,-1.61,0.14,-360.53,-0.13,-11.77,1809.0,5e-05,-0.02,1.5,90,0.05
4,"('entry_threshold', 2.0)","('lookback_window', 120)","('p-value', 0.1)",-54213.08,-10.84,-1.5,0.63,-2.38,-1.44,0.14,-3.89,-0.12,-10.94,1790.0,0.00385,-0.02,2.0,120,0.1
5,"('entry_threshold', 2.0)","('lookback_window', 60)","('p-value', 0.05)",-40858.95,-8.17,-1.11,0.46,-2.42,-1.36,0.14,-6.5,-0.09,-8.17,1853.0,0.00172,-0.01,2.0,60,0.05
6,"('entry_threshold', 1.5)","('lookback_window', 120)","('p-value', 0.05)",-62176.57,-12.44,-1.73,0.71,-2.44,-1.65,0.14,-3.36,-0.13,-12.45,1789.0,0.00516,-0.02,1.5,120,0.05
7,"('entry_threshold', 0.8)","('lookback_window', 120)","('p-value', 0.05)",-110207.63,-22.04,-3.22,1.24,-2.6,-2.26,0.15,-10.36,-0.25,-22.11,1796.0,0.00311,-0.03,0.8,120,0.05
8,"('entry_threshold', 1.0)","('lookback_window', 120)","('p-value', 0.05)",-99918.87,-19.98,-2.89,1.11,-2.61,-2.16,0.14,-6.43,-0.22,-20.06,1795.0,0.00449,-0.03,1.0,120,0.05
9,"('entry_threshold', 1.5)","('lookback_window', 90)","('p-value', 0.1)",-93624.64,-18.72,-2.69,0.99,-2.73,-2.31,0.14,-5.03,-0.21,-18.9,1825.0,0.00535,-0.03,1.5,90,0.1
10,"('entry_threshold', 1.0)","('lookback_window', 90)","('p-value', 0.05)",-110340.36,-22.07,-3.23,1.14,-2.84,-2.57,0.15,21.93,-0.25,-22.14,1826.0,-0.00147,-0.03,1.0,90,0.05
11,"('entry_threshold', 1.5)","('lookback_window', 120)","('p-value', 0.1)",-98870.47,-19.77,-2.86,0.97,-2.94,-2.48,0.14,-3.12,-0.22,-19.87,1788.0,0.00917,-0.03,1.5,120,0.1
12,"('entry_threshold', 1.0)","('lookback_window', 120)","('p-value', 0.1)",-147022.32,-29.4,-4.48,1.49,-3.01,-2.94,0.15,-4.47,-0.35,-29.58,1796.0,0.01002,-0.05,1.0,120,0.1
13,"('entry_threshold', 1.5)","('lookback_window', 60)","('p-value', 0.05)",-87869.42,-17.57,-2.51,0.83,-3.02,-2.26,0.14,-19.95,-0.19,-17.74,1852.0,0.00126,-0.03,1.5,60,0.05
14,"('entry_threshold', 0.8)","('lookback_window', 120)","('p-value', 0.1)",-161382.56,-32.28,-5.0,1.66,-3.02,-3.08,0.15,-5.92,-0.39,-32.4,1796.0,0.00844,-0.05,0.8,120,0.1
15,"('entry_threshold', 2.0)","('lookback_window', 60)","('p-value', 0.1)",-71738.73,-14.35,-2.02,0.66,-3.04,-1.91,0.14,-13.11,-0.16,-14.35,1854.0,0.00154,-0.02,2.0,60,0.1
16,"('entry_threshold', 0.8)","('lookback_window', 90)","('p-value', 0.05)",-137010.36,-27.4,-4.12,1.31,-3.14,-2.99,0.15,8.86,-0.32,-27.49,1825.0,-0.00466,-0.04,0.8,90,0.05
17,"('entry_threshold', 1.0)","('lookback_window', 90)","('p-value', 0.1)",-169174.36,-33.83,-5.29,1.6,-3.3,-3.28,0.16,-8.78,-0.41,-34.05,1825.0,0.00602,-0.06,1.0,90,0.1
18,"('entry_threshold', 0.8)","('lookback_window', 90)","('p-value', 0.1)",-198271.97,-39.65,-6.43,1.85,-3.48,-3.61,0.16,-17.12,-0.5,-40.09,1821.0,0.00375,-0.07,0.8,90,0.1
19,"('entry_threshold', 1.0)","('lookback_window', 60)","('p-value', 0.05)",-136766.71,-27.35,-4.12,1.15,-3.59,-3.3,0.15,51.61,-0.32,-27.48,1853.0,-0.0008,-0.04,1.0,60,0.05
20,"('entry_threshold', 0.8)","('lookback_window', 60)","('p-value', 0.05)",-165399.84,-33.08,-5.15,1.42,-3.63,-3.3,0.15,126.94,-0.4,-33.24,1846.0,-0.00041,-0.05,0.8,60,0.05
21,"('entry_threshold', 1.5)","('lookback_window', 60)","('p-value', 0.1)",-141652.68,-28.33,-4.29,1.08,-3.97,-3.34,0.15,-24.03,-0.33,-28.54,1854.0,0.00178,-0.04,1.5,60,0.1
22,"('entry_threshold', 1.0)","('lookback_window', 60)","('p-value', 0.1)",-206429.67,-41.29,-6.76,1.53,-4.42,-4.42,0.16,68.78,-0.52,-41.46,1853.0,-0.00098,-0.07,1.0,60,0.1
23,"('entry_threshold', 0.8)","('lookback_window', 60)","('p-value', 0.1)",-236081.47,-47.22,-8.06,1.82,-4.43,-4.42,0.17,64.01,-0.62,-47.38,1853.0,-0.00126,-0.08,0.8,60,0.1
