level_0,level_1,level_2,Total Return ($),Total Return (%),Annualized Return (%),Annualized Volatility (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Treynor Ratio,Information Ratio,Max Drawdown (%),Max Drawdown Duration (days),Beta,Alpha,entry_threshold,lookback_window,p-value
"('entry_threshold', 2.5)","('lookback_window', 250)","('p-value', 0.01)",1042.23,0.21,0.03,0.09,0.35,0.12,-0.22,-3.93,0.0,-0.14,1092.0,-8e-05,0.0,2.5,250,0.01
"('entry_threshold', 3.0)","('lookback_window', 250)","('p-value', 0.01)",318.96,0.06,0.01,0.05,0.21,0.04,-0.12,-19.99,0.0,-0.08,873.0,-0.0,0.0,3.0,250,0.01
"('entry_threshold', 3.0)","('lookback_window', 90)","('p-value', 0.01)",-381.24,-0.08,-0.01,0.05,-0.23,-0.02,0.12,4.22,-0.0,-0.1,1420.0,-3e-05,-0.0,3.0,90,0.01
"('entry_threshold', 2.0)","('lookback_window', 250)","('p-value', 0.01)",-980.34,-0.2,-0.03,0.12,-0.26,-0.07,0.08,-70.23,-0.0,-0.35,1409.0,0.0,-0.0,2.0,250,0.01
"('entry_threshold', 3.0)","('lookback_window', 250)","('p-value', 0.05)",-854.88,-0.17,-0.03,0.1,-0.26,-0.07,0.11,1.41,-0.0,-0.23,1101.0,-0.00018,-0.0,3.0,250,0.05
"('entry_threshold', 3.0)","('lookback_window', 180)","('p-value', 0.01)",-496.42,-0.1,-0.02,0.06,-0.27,-0.03,0.08,8.23,-0.0,-0.19,1228.0,-2e-05,-0.0,3.0,180,0.01
"('entry_threshold', 1.5)","('lookback_window', 250)","('p-value', 0.01)",-1344.64,-0.27,-0.04,0.14,-0.28,-0.12,0.07,-26.29,-0.0,-0.59,1411.0,2e-05,-0.0,1.5,250,0.01
"('entry_threshold', 2.0)","('lookback_window', 90)","('p-value', 0.01)",-2172.89,-0.43,-0.07,0.21,-0.31,-0.12,0.07,1.97,-0.01,-0.89,1569.0,-0.00033,-0.0,2.0,90,0.01
"('entry_threshold', 2.5)","('lookback_window', 180)","('p-value', 0.01)",-1083.96,-0.22,-0.03,0.07,-0.46,-0.09,0.1,10.1,-0.0,-0.31,1419.0,-3e-05,-0.0,2.5,180,0.01
"('entry_threshold', 2.5)","('lookback_window', 250)","('p-value', 0.05)",-4776.78,-0.96,-0.15,0.31,-0.47,-0.11,0.15,1.68,-0.01,-0.96,1407.0,-0.00086,-0.0,2.5,250,0.05
