level_0,level_1,level_2,Total Return ($),Total Return (%),Annualized Return (%),Annualized Volatility (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Treynor Ratio,Information Ratio,Max Drawdown (%),Max Drawdown Duration (days),Beta,Alpha,entry_threshold,lookback_window,p-value
"('entry_threshold', 1.25)","('lookback_window', 600)","('p-value', 0.05)",26972.2,5.39,1.14,1.64,0.7,0.4,-0.86,-0.52,0.09,-1.32,486.0,-0.02208,0.01,1.25,600,0.05
"('entry_threshold', 1.0)","('lookback_window', 600)","('p-value', 0.05)",17647.25,3.53,0.75,2.04,0.37,0.2,-0.2,-0.26,0.06,-3.7,536.0,-0.02865,0.01,1.0,600,0.05
"('entry_threshold', 1.25)","('lookback_window', 480)","('p-value', 0.05)",12518.27,2.5,0.54,1.56,0.35,0.24,-0.29,-0.64,0.04,-1.86,652.0,-0.0084,0.01,1.25,480,0.05
"('entry_threshold', 0.6)","('lookback_window', 540)","('p-value', 0.05)",17261.79,3.45,0.74,2.17,0.34,0.28,-0.25,-0.88,0.06,-2.91,590.0,-0.00839,0.01,0.6,540,0.05
"('entry_threshold', 1.0)","('lookback_window', 540)","('p-value', 0.05)",11676.5,2.34,0.5,1.92,0.26,0.22,-0.23,-13.94,0.04,-2.2,595.0,-0.00036,0.01,1.0,540,0.05
"('entry_threshold', 1.25)","('lookback_window', 540)","('p-value', 0.05)",10038.94,2.01,0.43,1.69,0.26,0.2,-0.21,-1.12,0.03,-2.06,583.0,-0.00384,0.01,1.25,540,0.05
"('entry_threshold', 0.8)","('lookback_window', 540)","('p-value', 0.05)",11030.79,2.21,0.47,2.0,0.24,0.18,-0.17,-0.64,0.04,-2.87,589.0,-0.00745,0.01,0.8,540,0.05
"('entry_threshold', 1.0)","('lookback_window', 480)","('p-value', 0.05)",5492.63,1.1,0.24,1.66,0.14,0.11,-0.12,-0.23,0.02,-1.96,659.0,-0.01024,0.0,1.0,480,0.05
"('entry_threshold', 0.8)","('lookback_window', 600)","('p-value', 0.05)",5052.03,1.01,0.22,2.13,0.1,0.06,-0.07,-0.07,0.02,-3.17,542.0,-0.03185,0.01,0.8,600,0.05
"('entry_threshold', 0.6)","('lookback_window', 600)","('p-value', 0.05)",4084.83,0.82,0.18,2.33,0.08,0.05,-0.05,-0.05,0.01,-3.8,540.0,-0.03546,0.01,0.6,600,0.05
"('entry_threshold', 0.6)","('lookback_window', 480)","('p-value', 0.05)",2006.55,0.4,0.09,2.06,0.04,0.03,-0.04,-0.1,0.01,-2.36,653.0,-0.00856,0.0,0.6,480,0.05
"('entry_threshold', 0.8)","('lookback_window', 480)","('p-value', 0.05)",-2748.38,-0.55,-0.12,1.87,-0.06,-0.05,0.05,0.11,-0.01,-2.57,670.0,-0.0107,0.0,0.8,480,0.05
"('entry_threshold', 1.25)","('lookback_window', 600)","('p-value', 0.01)",-734.95,-0.15,-0.03,0.24,-0.14,-0.01,0.07,-0.84,-0.0,-0.46,403.0,0.00038,-0.0,1.25,600,0.01
"('entry_threshold', 1.0)","('lookback_window', 600)","('p-value', 0.01)",-1786.37,-0.36,-0.08,0.25,-0.31,-0.02,0.14,-0.97,-0.01,-0.56,403.0,0.0008,-0.0,1.0,600,0.01
"('entry_threshold', 0.8)","('lookback_window', 540)","('p-value', 0.01)",-4521.0,-0.9,-0.2,0.63,-0.31,-0.09,0.15,0.24,-0.02,-1.34,618.0,-0.00808,-0.0,0.8,540,0.01
"('entry_threshold', 0.6)","('lookback_window', 540)","('p-value', 0.01)",-6364.71,-1.27,-0.28,0.77,-0.36,-0.12,0.19,0.28,-0.02,-1.49,620.0,-0.00979,-0.0,0.6,540,0.01
"('entry_threshold', 1.0)","('lookback_window', 540)","('p-value', 0.01)",-3337.01,-0.67,-0.14,0.39,-0.37,-0.08,0.16,1.3,-0.01,-0.92,583.0,-0.00111,-0.0,1.0,540,0.01
"('entry_threshold', 1.25)","('lookback_window', 540)","('p-value', 0.01)",-3507.75,-0.7,-0.15,0.37,-0.41,-0.1,0.16,3.39,-0.01,-0.96,583.0,-0.00045,-0.0,1.25,540,0.01
"('entry_threshold', 1.25)","('lookback_window', 480)","('p-value', 0.01)",-2383.6,-0.48,-0.1,0.18,-0.58,-0.03,0.22,-4.66,-0.01,-0.48,321.0,0.00022,-0.0,1.25,480,0.01
"('entry_threshold', 1.0)","('lookback_window', 480)","('p-value', 0.01)",-2485.7,-0.5,-0.11,0.18,-0.6,-0.04,0.22,-4.74,-0.01,-0.5,389.0,0.00023,-0.0,1.0,480,0.01
"('entry_threshold', 0.8)","('lookback_window', 600)","('p-value', 0.01)",-7458.93,-1.49,-0.33,0.44,-0.74,-0.08,0.2,1.82,-0.03,-1.62,455.0,-0.00179,-0.0,0.8,600,0.01
"('entry_threshold', 0.6)","('lookback_window', 600)","('p-value', 0.01)",-9133.88,-1.83,-0.4,0.49,-0.82,-0.11,0.19,1.32,-0.03,-2.13,456.0,-0.00301,-0.0,0.6,600,0.01
"('entry_threshold', 0.8)","('lookback_window', 480)","('p-value', 0.01)",-6830.75,-1.37,-0.3,0.31,-0.98,-0.12,0.22,2.19,-0.02,-1.37,620.0,-0.00136,-0.0,0.8,480,0.01
"('entry_threshold', 0.6)","('lookback_window', 480)","('p-value', 0.01)",-7442.38,-1.49,-0.32,0.31,-1.04,-0.13,0.22,2.08,-0.03,-1.49,620.0,-0.00156,-0.0,0.6,480,0.01
