level_0,level_1,level_2,Total Return ($),Total Return (%),Annualized Return (%),Annualized Volatility (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Treynor Ratio,Information Ratio,Max Drawdown (%),Max Drawdown Duration (days),Beta,Alpha,entry_threshold,lookback_window,p-value
"('entry_threshold', 2.4)","('lookback_window', 140)","('p-value', 0.01)",-660.56,-0.13,-0.02,0.07,-0.27,-0.07,0.1,-8.0,-0.0,-0.2,1384.0,3e-05,-0.0,2.4,140,0.01
"('entry_threshold', 2.4)","('lookback_window', 240)","('p-value', 0.01)",-1590.72,-0.32,-0.05,0.1,-0.47,-0.11,0.13,-9.09,-0.0,-0.37,1419.0,5e-05,-0.0,2.4,240,0.01
"('entry_threshold', 2.4)","('lookback_window', 240)","('p-value', 0.05)",-6226.11,-1.25,-0.19,0.34,-0.56,-0.17,0.11,12.53,-0.01,-1.65,1419.0,-0.00015,-0.0,2.4,240,0.05
"('entry_threshold', 1.6)","('lookback_window', 240)","('p-value', 0.01)",-2932.36,-0.59,-0.09,0.15,-0.58,-0.23,0.14,-4.13,-0.01,-0.64,1379.0,0.00022,-0.0,1.6,240,0.01
"('entry_threshold', 1.8)","('lookback_window', 240)","('p-value', 0.05)",-9828.3,-1.97,-0.3,0.51,-0.59,-0.34,0.11,8.63,-0.02,-2.73,1419.0,-0.00035,-0.0,1.8,240,0.05
"('entry_threshold', 2.4)","('lookback_window', 160)","('p-value', 0.01)",-1535.46,-0.31,-0.05,0.08,-0.62,-0.18,0.13,18.95,-0.0,-0.35,1458.0,-2e-05,-0.0,2.4,160,0.01
"('entry_threshold', 1.2)","('lookback_window', 240)","('p-value', 0.01)",-4350.21,-0.87,-0.13,0.21,-0.63,-0.29,0.15,-1.59,-0.01,-0.88,1403.0,0.00083,-0.0,1.2,240,0.01
"('entry_threshold', 1.8)","('lookback_window', 240)","('p-value', 0.01)",-3272.36,-0.65,-0.1,0.14,-0.7,-0.25,0.14,-4.94,-0.01,-0.71,1419.0,0.0002,-0.0,1.8,240,0.01
"('entry_threshold', 1.6)","('lookback_window', 240)","('p-value', 0.05)",-13693.14,-2.74,-0.42,0.56,-0.75,-0.44,0.12,-120.36,-0.03,-3.51,1412.0,3e-05,-0.0,1.6,240,0.05
"('entry_threshold', 1.8)","('lookback_window', 140)","('p-value', 0.01)",-3506.29,-0.7,-0.11,0.14,-0.76,-0.31,0.15,-2.06,-0.01,-0.71,1478.0,0.00052,-0.0,1.8,140,0.01
"('entry_threshold', 2.4)","('lookback_window', 200)","('p-value', 0.01)",-2629.17,-0.53,-0.08,0.1,-0.78,-0.19,0.12,-2.85,-0.01,-0.66,1416.0,0.00028,-0.0,2.4,200,0.01
"('entry_threshold', 0.8)","('lookback_window', 240)","('p-value', 0.01)",-7243.51,-1.45,-0.22,0.25,-0.87,-0.48,0.13,-2.12,-0.02,-1.66,1423.0,0.00104,-0.0,0.8,240,0.01
"('entry_threshold', 1.6)","('lookback_window', 200)","('p-value', 0.01)",-5525.8,-1.11,-0.17,0.19,-0.88,-0.34,0.13,-1.47,-0.01,-1.31,1442.0,0.00115,-0.0,1.6,200,0.01
"('entry_threshold', 2.4)","('lookback_window', 100)","('p-value', 0.01)",-2868.3,-0.57,-0.09,0.1,-0.89,-0.18,0.14,55.5,-0.01,-0.6,1551.0,-2e-05,-0.0,2.4,100,0.01
"('entry_threshold', 2.4)","('lookback_window', 200)","('p-value', 0.05)",-8150.78,-1.63,-0.25,0.25,-0.98,-0.29,0.15,-3.21,-0.02,-1.7,1416.0,0.00077,-0.0,2.4,200,0.05
"('entry_threshold', 0.8)","('lookback_window', 200)","('p-value', 0.01)",-9507.14,-1.9,-0.29,0.3,-0.98,-0.55,0.13,-1.27,-0.02,-2.2,1457.0,0.00229,-0.0,0.8,200,0.01
"('entry_threshold', 2.4)","('lookback_window', 240)","('p-value', 0.1)",-12980.79,-2.6,-0.4,0.39,-1.01,-0.42,0.14,7.21,-0.03,-2.76,1419.0,-0.00055,-0.0,2.4,240,0.1
"('entry_threshold', 2.4)","('lookback_window', 60)","('p-value', 0.01)",-6737.54,-1.35,-0.21,0.19,-1.05,-0.26,0.15,-3.51,-0.02,-1.4,1525.0,0.00058,-0.0,2.4,60,0.01
"('entry_threshold', 2.4)","('lookback_window', 160)","('p-value', 0.05)",-5293.17,-1.06,-0.16,0.15,-1.07,-0.35,0.12,4.45,-0.01,-1.31,1458.0,-0.00036,-0.0,2.4,160,0.05
"('entry_threshold', 0.8)","('lookback_window', 160)","('p-value', 0.01)",-10997.26,-2.2,-0.34,0.31,-1.09,-0.73,0.13,-6.89,-0.03,-2.64,1468.0,0.00049,-0.0,0.8,160,0.01
"('entry_threshold', 1.8)","('lookback_window', 200)","('p-value', 0.01)",-6086.75,-1.22,-0.19,0.17,-1.09,-0.35,0.13,-1.92,-0.01,-1.47,1442.0,0.00096,-0.0,1.8,200,0.01
"('entry_threshold', 1.2)","('lookback_window', 200)","('p-value', 0.01)",-8950.64,-1.79,-0.27,0.24,-1.12,-0.59,0.13,-1.44,-0.02,-2.04,1455.0,0.0019,-0.0,1.2,200,0.01
"('entry_threshold', 2.4)","('lookback_window', 200)","('p-value', 0.1)",-16863.76,-3.37,-0.52,0.46,-1.13,-0.37,0.15,-3.15,-0.04,-3.37,1419.0,0.00165,-0.01,2.4,200,0.1
"('entry_threshold', 1.8)","('lookback_window', 160)","('p-value', 0.01)",-4488.38,-0.9,-0.14,0.12,-1.15,-0.39,0.15,13.88,-0.01,-0.94,1464.0,-0.0001,-0.0,1.8,160,0.01
"('entry_threshold', 1.8)","('lookback_window', 60)","('p-value', 0.01)",-13799.68,-2.76,-0.42,0.35,-1.22,-0.56,0.15,-3.5,-0.03,-2.83,1564.0,0.00121,-0.0,1.8,60,0.01
"('entry_threshold', 1.6)","('lookback_window', 140)","('p-value', 0.01)",-8100.57,-1.62,-0.25,0.2,-1.23,-0.51,0.15,-10.5,-0.02,-1.68,1513.0,0.00024,-0.0,1.6,140,0.01
"('entry_threshold', 1.6)","('lookback_window', 200)","('p-value', 0.05)",-18788.52,-3.76,-0.58,0.47,-1.23,-0.66,0.15,-4.37,-0.04,-3.96,1456.0,0.00132,-0.01,1.6,200,0.05
"('entry_threshold', 1.2)","('lookback_window', 240)","('p-value', 0.05)",-27195.07,-5.44,-0.84,0.67,-1.26,-0.95,0.14,-19.45,-0.07,-6.19,1422.0,0.00043,-0.01,1.2,240,0.05
"('entry_threshold', 1.2)","('lookback_window', 140)","('p-value', 0.01)",-15213.33,-3.04,-0.47,0.37,-1.28,-0.68,0.15,-12.36,-0.04,-3.11,1517.0,0.00038,-0.0,1.2,140,0.01
"('entry_threshold', 0.8)","('lookback_window', 140)","('p-value', 0.01)",-19130.32,-3.83,-0.59,0.45,-1.3,-0.85,0.15,14.84,-0.05,-3.89,1517.0,-0.0004,-0.01,0.8,140,0.01
"('entry_threshold', 1.8)","('lookback_window', 200)","('p-value', 0.05)",-18097.95,-3.62,-0.56,0.42,-1.33,-0.64,0.14,-2.97,-0.04,-3.85,1446.0,0.00187,-0.01,1.8,200,0.05
