level_0,level_1,level_2,Total Return ($),Total Return (%),Annualized Return (%),Annualized Volatility (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Treynor Ratio,Information Ratio,Max Drawdown (%),Max Drawdown Duration (days),Beta,Alpha,entry_threshold,lookback_window,p-value
"('entry_threshold', 3.0)","('lookback_window', 420)","('p-value', 0.01)",-123.55,-0.02,-0.01,0.03,-0.18,-0.02,0.09,0.84,-0.0,-0.06,696.0,-6e-05,-0.0,3.0,420,0.01
"('entry_threshold', 4.0)","('lookback_window', 420)","('p-value', 0.01)",-123.55,-0.02,-0.01,0.03,-0.18,-0.02,0.09,0.84,-0.0,-0.06,696.0,-6e-05,-0.0,4.0,420,0.01
"('entry_threshold', 4.0)","('lookback_window', 280)","('p-value', 0.01)",-349.65,-0.07,-0.02,0.08,-0.2,-0.02,0.08,-6.62,-0.0,-0.19,696.0,2e-05,-0.0,4.0,280,0.01
"('entry_threshold', 3.0)","('lookback_window', 280)","('p-value', 0.01)",-2104.66,-0.42,-0.09,0.41,-0.22,-0.05,0.1,1.13,-0.01,-0.92,788.0,-0.00081,-0.0,3.0,280,0.01
"('entry_threshold', 4.0)","('lookback_window', 420)","('p-value', 0.05)",-2221.2,-0.44,-0.1,0.3,-0.32,-0.03,0.16,-6.36,-0.01,-0.59,696.0,0.00015,-0.0,4.0,420,0.05
"('entry_threshold', 0.5)","('lookback_window', 420)","('p-value', 0.01)",-9087.44,-1.82,-0.4,1.04,-0.38,-0.15,0.16,0.19,-0.03,-2.5,733.0,-0.02142,-0.0,0.5,420,0.01
"('entry_threshold', 4.0)","('lookback_window', 280)","('p-value', 0.05)",-8211.35,-1.64,-0.36,0.73,-0.49,-0.06,0.18,5.36,-0.03,-1.95,807.0,-0.00067,-0.0,4.0,280,0.05
"('entry_threshold', 0.5)","('lookback_window', 520)","('p-value', 0.01)",-10767.48,-2.15,-0.47,0.73,-0.64,-0.16,0.19,0.43,-0.04,-2.51,634.0,-0.0109,-0.0,0.5,520,0.01
"('entry_threshold', 3.0)","('lookback_window', 520)","('p-value', 0.05)",-3608.05,-0.72,-0.16,0.22,-0.7,-0.05,0.22,1.44,-0.01,-0.72,487.0,-0.00109,-0.0,3.0,520,0.05
"('entry_threshold', 3.0)","('lookback_window', 420)","('p-value', 0.05)",-9400.52,-1.88,-0.41,0.49,-0.84,-0.12,0.22,-9.23,-0.03,-1.88,726.0,0.00044,-0.0,3.0,420,0.05
"('entry_threshold', 3.0)","('lookback_window', 280)","('p-value', 0.05)",-21052.2,-4.21,-0.93,1.0,-0.92,-0.22,0.21,15.76,-0.07,-4.37,807.0,-0.00059,-0.01,3.0,280,0.05
"('entry_threshold', 0.5)","('lookback_window', 280)","('p-value', 0.01)",-39926.06,-7.99,-1.79,1.61,-1.11,-0.61,0.22,-4.36,-0.14,-8.09,883.0,0.0041,-0.02,0.5,280,0.01
"('entry_threshold', 0.5)","('lookback_window', 520)","('p-value', 0.05)",-57867.22,-11.57,-2.63,1.95,-1.35,-0.99,0.2,2.13,-0.2,-13.11,640.0,-0.01232,-0.02,0.5,520,0.05
"('entry_threshold', 0.5)","('lookback_window', 420)","('p-value', 0.05)",-104092.27,-20.82,-4.93,3.29,-1.5,-0.84,0.23,1.37,-0.36,-21.87,735.0,-0.03597,-0.04,0.5,420,0.05
"('entry_threshold', 0.5)","('lookback_window', 280)","('p-value', 0.05)",-160860.66,-32.17,-8.07,3.87,-2.08,-1.59,0.25,7.73,-0.59,-32.17,883.0,-0.01044,-0.08,0.5,280,0.05
"('entry_threshold', 3.0)","('lookback_window', 520)","('p-value', 0.01)",0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,3.0,520,0.01
"('entry_threshold', 4.0)","('lookback_window', 520)","('p-value', 0.05)",0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,4.0,520,0.05
"('entry_threshold', 4.0)","('lookback_window', 520)","('p-value', 0.01)",0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,4.0,520,0.01
